depth,idx,solved,sol_len,seconds,sim_pdb,scramble,solution
16,9,True,16,2.986,1.0000,B L D' B2 D L D B2 L2 D2 L2 D2 B L' B L2,L2 B' L B' D2 L2 D2 L2 B2 D' L' D' B2 D L' B'
16,10,True,16,25.280,1.0000,D2 B' D' L B2 D' B' D2 L' B2 D' B' L' B' D L,L' D' B L B D B2 L D2 B D B2 L' D B D2
16,11,True,16,3.107,1.0000,L B' L B' L B D B L D2 L D' B L' D2 L,L' D2 L B' D L' D2 L' B' D' B' L' B L' B L'
16,12,True,16,3.169,1.0000,B' D B' L B L2 D L B L2 D L2 B D' B L,L' B' D B' L2 D' L2 B' L' D' L2 B' L' B D' B
16,13,True,16,3.244,1.0000,L2 B2 D B' L2 B' D L2 B2 D L B2 D2 B' L B2,B2 L' B D2 B2 L' D' B2 L2 D' B L2 B D' B2 L2
16,14,False,13,32.119,0.7171,L' B2 D L2 D L D' L2 D2 B L2 B2 D' B D2 L2,L2 D2 B' D B2 L2 B' D2 L2 D L' D' L2
16,15,True,16,2.867,1.0000,D' L B2 L B2 L2 B2 D' B L' B2 D B L2 D B,B' D' L2 B' D' B2 L B' D B2 L2 B2 L' B2 L' D
16,16,False,15,37.674,0.9057,B D L D' L' B D L2 D B' D2 L2 D' B' D2 B2,B2 D2 B D L2 D2 B D' L2 D' B' L D L' D'
16,17,True,16,3.306,1.0000,B' L2 B' D B L B D' B' L2 B L2 D B' D2 L,L' D2 B D' L2 B' L2 B D B' L' B' D' B L2 B
16,18,True,16,3.113,1.0000,L2 B L B L D B' D' B' D2 B2 D2 B D2 L' D',D L D2 B' D2 B2 D2 B D B D' L' B' L' B' L2
16,19,True,16,3.825,1.0000,B2 D' L D B D2 B2 L2 D' B D2 L2 B' D2 L2 D,D' L2 D2 B L2 D2 B' D L2 B2 D2 B' D' L' D B2
16,20,True,16,2.467,1.0000,B' D B2 D' B' L2 B2 L2 D2 L B2 L D L2 D B,B' D' L2 D' L' B2 L' D2 L2 B2 L2 B D B2 D' B
16,21,False,11,21.077,0.6968,L D' B' L B L D' L2 B2 L B' D' L' D2 B2 L,D2 L D B L D' B' L2 B L2 B'
16,22,True,16,3.139,1.0000,D L' D2 B L2 D' B2 L' B L D' B2 D2 L B2 D,D' B2 L' D2 B2 D L' B' L B2 D L2 B' D2 L D'
16,23,False,15,40.626,0.9057,D2 B' L' B2 D L' D' B' L' D2 L B L D B' D,D' B D' L' B' L' D2 L B D L D' B2 L B
16,24,True,16,2.555,1.0000,D L' D B' D L D L' D L' D' L2 D2 B' L2 D,D' L2 B D2 L2 D L D' L D' L' D' B D' L D'
16,25,True,16,2.875,1.0000,L2 D B D2 B' L2 D B' L D2 L' D' L2 B D' B,B' D B' L2 D L D2 L' B D' L2 B D2 B' D' L2
16,26,False,14,25.988,0.7250,L2 B2 L B L' B' L2 D' L2 D' L B2 L D B' D,D2 B D2 L' B L2 B L2 D L2 B' D' B D
16,27,True,16,3.098,1.0000,L B L2 D L2 D2 L' D2 B D B2 L B D2 B L,L' B' D2 B' L' B2 D' B' D2 L D2 L2 D' L2 B' L'
